<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.11.26	09:00:00	87200	87380	87050	87310	26030	81364	5
2018.11.26	09:15:00	87310	87325	86970	87130	39619	116888	5
2018.11.26	09:30:00	87130	87150	86935	87010	30809	91371	5
2018.11.26	09:45:00	87010	87120	86975	87035	22781	70907	5
2018.11.26	10:00:00	87035	87170	87015	87095	29911	86419	5
2018.11.26	10:15:00	87095	87340	87005	87265	38268	113695	5
2018.11.26	10:30:00	87265	87290	87015	87230	41671	130795	5
2018.11.26	10:45:00	87235	87445	87120	87130	42212	126351	5
2018.11.26	11:00:00	87130	87205	86960	87125	41842	129718	5
2018.11.26	11:15:00	87130	87270	87000	87060	43259	131699	5
2018.11.26	11:30:00	87060	87150	86755	86885	39742	123068	5
2018.11.26	11:45:00	86885	87040	86745	86810	40409	129573	5
2018.11.26	12:00:00	86805	86925	86730	86785	32424	99627	5
2018.11.26	12:15:00	86785	86980	86680	86950	29402	92660	5
2018.11.26	12:30:00	86955	87125	86815	87030	50812	160770	5
2018.11.26	12:45:00	87030	87260	86885	87195	37579	117118	5
2018.11.26	13:00:00	87190	87195	86640	86775	50436	170627	5
2018.11.26	13:15:00	86775	86855	86610	86850	35411	111786	5
2018.11.26	13:30:00	86845	87000	86765	86980	32263	105754	5
2018.11.26	13:45:00	86980	87140	86905	87075	32732	106166	5
2018.11.26	14:00:00	87070	87240	87000	87205	35183	113536	5
2018.11.26	14:15:00	87205	87235	86795	86815	37475	125195	5
2018.11.26	14:30:00	86820	86840	86670	86750	26025	84855	5
2018.11.26	14:45:00	86750	86750	86565	86715	32719	106788	5
2018.11.26	15:00:00	86720	86795	86600	86615	29227	100239	5
2018.11.26	15:15:00	86610	86660	86135	86150	46638	166485	5
2018.11.26	15:30:00	86150	86150	85655	85745	52641	192037	5
2018.11.26	15:45:00	85740	85790	85140	85405	62327	222174	5
2018.11.26	16:00:00	85405	85500	85075	85220	44263	155185	5
2018.11.26	16:15:00	85225	85560	85200	85545	33381	119397	5
2018.11.26	16:30:00	85545	85645	85365	85550	31830	113225	5
2018.11.26	16:45:00	85555	85640	85470	85605	23285	86702	5
2018.11.26	17:00:00	85610	85835	85575	85830	25290	98064	5
2018.11.26	17:15:00	85830	85875	85560	85605	25805	103029	5
2018.11.26	17:30:00	85605	85760	85575	85575	19817	76332	5
2018.11.26	17:45:00	85575	85650	85420	85620	15692	64644	5
2018.11.26	18:00:00	85620	85800	85535	85630	6698	30092	5
2018.11.27	09:00:00	85955	86050	85740	86010	32087	93922	5
2018.11.27	09:15:00	86010	86015	85750	85895	32593	99401	5
2018.11.27	09:30:00	85895	86030	85850	85960	20430	57734	5
2018.11.27	09:45:00	85965	86130	85910	86100	25838	82317	5
2018.11.27	10:00:00	86100	86120	85770	85955	47174	141677	5
2018.11.27	10:15:00	85960	85960	85475	85805	59555	184063	5
2018.11.27	10:30:00	85805	86375	85790	86215	60884	193021	5
2018.11.27	10:45:00	86215	86395	86170	86330	34002	103594	5
2018.11.27	11:00:00	86335	86350	86060	86135	33088	98810	5
2018.11.27	11:15:00	86140	86365	86090	86145	34677	107066	5
2018.11.27	11:30:00	86145	86255	86050	86215	32190	103231	5
2018.11.27	11:45:00	86215	86320	86080	86170	23747	76011	5
2018.11.27	12:00:00	86170	86240	85860	85860	27149	92678	5
2018.11.27	12:15:00	85865	86205	85680	86105	45980	147968	5
2018.11.27	12:30:00	86110	86290	85985	86165	49759	159951	5
2018.11.27	12:45:00	86165	86490	86060	86410	39539	129998	5
2018.11.27	13:00:00	86410	86570	86270	86485	40968	133115	5
2018.11.27	13:15:00	86490	86730	86400	86575	35261	113214	5
2018.11.27	13:30:00	86585	86755	86545	86690	28967	93719	5
2018.11.27	13:45:00	86690	86980	86690	86925	34215	113218	5
2018.11.27	14:00:00	86925	87280	86885	87190	44702	146815	5
2018.11.27	14:15:00	87195	87550	87190	87530	41569	134856	5
2018.11.27	14:30:00	87530	87595	87435	87560	33002	112625	5
2018.11.27	14:45:00	87570	87800	87490	87635	40706	143321	5
2018.11.27	15:00:00	87625	87730	87565	87645	28574	95351	5
2018.11.27	15:15:00	87650	87650	87305	87345	36574	135482	5
2018.11.27	15:30:00	87345	87580	87320	87430	34883	124702	5
2018.11.27	15:45:00	87435	87695	87330	87545	35677	120757	5
2018.11.27	16:00:00	87540	87720	87495	87655	27503	90338	5
2018.11.27	16:15:00	87655	87850	87630	87675	39851	137366	5
2018.11.27	16:30:00	87670	88120	87575	88005	48517	169253	5
2018.11.27	16:45:00	88005	88215	87960	88060	31654	115827	5
2018.11.27	17:00:00	88050	88170	87960	88120	23896	85880	5
2018.11.27	17:15:00	88115	88150	88015	88110	16066	61857	5
2018.11.27	17:30:00	88110	88245	88070	88175	17208	65033	5
2018.11.27	17:45:00	88175	88295	88165	88235	13608	56031	5
2018.11.27	18:00:00	88230	88255	87970	87970	6893	29737	5
2018.11.28	09:00:00	88000	88250	87910	88170	27269	89824	5
2018.11.28	09:15:00	88175	88280	88055	88075	24074	66864	5
2018.11.28	09:30:00	88075	88180	87975	88035	25046	76433	5
2018.11.28	09:45:00	88040	88055	87880	88050	28974	88758	5
2018.11.28	10:00:00	88050	88140	87835	87920	47975	147750	5
2018.11.28	10:15:00	87915	88360	87860	88200	53684	164439	5
2018.11.28	10:30:00	88195	88420	88190	88285	44743	141633	5
2018.11.28	10:45:00	88290	88565	88275	88510	33413	107005	5
2018.11.28	11:00:00	88510	88820	88470	88630	44034	134642	5
2018.11.28	11:15:00	88630	88700	88525	88600	28827	86474	5
2018.11.28	11:30:00	88595	88740	88465	88565	43424	142076	5
2018.11.28	11:45:00	88560	88670	88480	88525	18986	65700	5
2018.11.28	12:00:00	88530	88715	88480	88600	23932	80707	5
2018.11.28	12:15:00	88605	88770	88565	88745	20860	70726	5
2018.11.28	12:30:00	88750	88850	88015	88040	68062	224398	5
2018.11.28	12:45:00	88045	88135	87770	87920	55699	177642	5
2018.11.28	13:00:00	87920	87960	87555	87720	43687	144399	5
2018.11.28	13:15:00	87715	87795	87420	87435	35534	116906	5
2018.11.28	13:30:00	87435	87670	87355	87595	36979	122035	5
2018.11.28	13:45:00	87600	87865	87570	87825	35137	114383	5
2018.11.28	14:00:00	87825	87995	87675	87915	29743	97608	5
2018.11.28	14:15:00	87920	88000	87815	87985	20897	69058	5
2018.11.28	14:30:00	87985	88080	87780	87985	31660	103694	5
2018.11.28	14:45:00	87975	88170	87935	88110	29070	97155	5
2018.11.28	15:00:00	88105	89050	88105	89005	78331	258850	5
2018.11.28	15:15:00	89010	89475	88955	89315	57083	200213	5
2018.11.28	15:30:00	89315	89445	89140	89320	36589	120754	5
2018.11.28	15:45:00	89320	89570	89170	89215	44408	148005	5
2018.11.28	16:00:00	89215	89355	88995	89250	38864	121073	5
2018.11.28	16:15:00	89250	89440	89105	89230	31381	103790	5
2018.11.28	16:30:00	89230	89275	89115	89165	22103	75778	5
2018.11.28	16:45:00	89165	89660	89165	89635	33612	119002	5
2018.11.28	17:00:00	89640	89725	89435	89565	25621	92338	5
2018.11.28	17:15:00	89565	89630	89295	89315	23768	85600	5
2018.11.28	17:30:00	89315	89400	89045	89070	22986	80421	5
2018.11.28	17:45:00	89075	89400	88970	89385	17184	68585	5
2018.11.28	18:00:00	89385	89390	89230	89230	7996	29138	5
2018.11.29	09:00:00	88950	88950	88610	88680	25890	81220	5
2018.11.29	09:15:00	88680	88760	88550	88590	28353	93096	5
2018.11.29	09:30:00	88590	88730	88510	88695	31231	91790	5
2018.11.29	09:45:00	88700	88745	88470	88585	29515	93247	5
2018.11.29	10:00:00	88580	88835	88435	88810	44764	144055	5
2018.11.29	10:15:00	88805	89170	88720	89110	53410	161309	5
2018.11.29	10:30:00	89105	89585	89070	89525	47735	145861	5
2018.11.29	10:45:00	89525	89685	89395	89410	40016	120728	5
2018.11.29	11:00:00	89410	89550	89260	89445	41152	131552	5
2018.11.29	11:15:00	89445	89715	89405	89570	34198	101752	5
2018.11.29	11:30:00	89565	89885	89560	89820	43114	132064	5
2018.11.29	11:45:00	89815	90030	89795	89895	30995	101135	5
2018.11.29	12:00:00	89900	89945	89710	89800	27281	89392	5
2018.11.29	12:15:00	89800	90045	89740	89895	27476	90208	5
2018.11.29	12:30:00	89895	90050	89770	89845	46880	158584	5
2018.11.29	12:45:00	89845	89850	89615	89625	40817	141004	5
2018.11.29	13:00:00	89625	89650	89325	89415	39288	137080	5
2018.11.29	13:15:00	89415	89445	89220	89340	31791	113089	5
2018.11.29	13:30:00	89340	89800	89250	89395	58949	192680	5
2018.11.29	13:45:00	89395	89595	89365	89550	30863	102889	5
2018.11.29	14:00:00	89550	89690	89465	89630	28601	97361	5
2018.11.29	14:15:00	89635	89730	89530	89715	30009	105227	5
2018.11.29	14:30:00	89720	90150	89670	90070	44738	158919	5
2018.11.29	14:45:00	90070	90130	89790	89790	25322	83336	5
2018.11.29	15:00:00	89790	89900	89670	89745	30060	99289	5
2018.11.29	15:15:00	89745	89930	89725	89820	19564	71684	5
2018.11.29	15:30:00	89820	89845	89600	89690	27700	97386	5
2018.11.29	15:45:00	89690	89700	89415	89425	29472	106617	5
2018.11.29	16:00:00	89425	89520	89190	89325	34569	131935	5
2018.11.29	16:15:00	89325	89530	89300	89455	22893	84526	5
2018.11.29	16:30:00	89455	89635	89440	89565	20502	73424	5
2018.11.29	16:45:00	89570	89645	89340	89425	19739	72675	5
2018.11.29	17:00:00	89430	89820	89405	89765	32790	119725	5
2018.11.29	17:15:00	89760	89895	89650	89855	19105	70806	5
2018.11.29	17:30:00	89855	89975	89780	89870	16632	59934	5
2018.11.29	17:45:00	89870	89955	89790	89925	10102	44626	5
2018.11.29	18:00:00	89925	89955	89730	89730	3929	18872	5
2018.11.30	09:00:00	89295	89575	89150	89425	31123	95647	5
2018.11.30	09:15:00	89425	89440	89295	89310	15488	47258	5
2018.11.30	09:30:00	89305	89540	89270	89475	26699	78657	5
2018.11.30	09:45:00	89470	89710	89430	89635	33978	96481	5
2018.11.30	10:00:00	89640	89650	89335	89580	46482	126124	5
2018.11.30	10:15:00	89575	89675	89395	89600	38152	113891	5
2018.11.30	10:30:00	89600	89750	89505	89730	33927	110403	5
2018.11.30	10:45:00	89730	89815	89400	89635	41383	130853	5
2018.11.30	11:00:00	89635	89745	89470	89680	37653	129768	5
2018.11.30	11:15:00	89675	90040	89660	89900	48582	149587	5
2018.11.30	11:30:00	89900	90060	89850	90045	24349	79071	5
2018.11.30	11:45:00	90045	90395	90005	90200	52865	172079	5
2018.11.30	12:00:00	90205	90290	90070	90075	24204	75190	5
2018.11.30	12:15:00	90080	90135	89930	89980	24722	78559	5
2018.11.30	12:30:00	89980	90075	89780	89970	41493	131702	5
2018.11.30	12:45:00	89970	90115	89790	89825	30827	101861	5
2018.11.30	13:00:00	89825	90070	89705	89990	38039	129345	5
2018.11.30	13:15:00	89990	90020	89800	89915	25364	86559	5
2018.11.30	13:30:00	89915	90205	89850	89880	35040	121502	5
2018.11.30	13:45:00	89880	89985	89800	89930	29468	96962	5
2018.11.30	14:00:00	89930	90125	89850	90050	25807	81202	5
2018.11.30	14:15:00	90050	90140	89955	90070	26623	91398	5
2018.11.30	14:30:00	90070	90280	89970	90180	28037	88928	5
2018.11.30	14:45:00	90180	90475	90170	90320	31182	106608	5
2018.11.30	15:00:00	90320	90420	90250	90385	25840	84041	5
2018.11.30	15:15:00	90385	90425	90225	90260	25784	85093	5
2018.11.30	15:30:00	90265	90390	90205	90275	26913	91609	5
2018.11.30	15:45:00	90270	90335	90140	90180	22754	78787	5
2018.11.30	16:00:00	90180	90330	90160	90310	25825	92928	5
2018.11.30	16:15:00	90305	90325	90130	90230	21590	76324	5
2018.11.30	16:30:00	90225	90365	90125	90335	26774	90263	5
2018.11.30	16:45:00	90330	90450	90250	90275	23997	89093	5
2018.11.30	17:00:00	90265	90285	90065	90135	22474	86117	5
2018.11.30	17:15:00	90135	90135	89510	89620	41963	167443	5
2018.11.30	17:30:00	89625	90125	89620	90085	28518	113251	5
2018.11.30	17:45:00	90080	90185	89850	89865	20710	86689	5
2018.11.30	18:00:00	89865	89910	89600	89605	16207	56942	5
2018.12.03	09:00:00	91450	91540	91165	91470	36865	111189	5
2018.12.03	09:15:00	91470	91825	91405	91750	34150	113137	5
2018.12.03	09:30:00	91750	91760	91505	91540	27860	87226	5
2018.12.03	09:45:00	91545	91690	91465	91515	25975	85047	5
2018.12.03	10:00:00	91520	91555	91260	91280	36585	117864	5
2018.12.03	10:15:00	91280	91340	91070	91245	56269	175532	5
2018.12.03	10:30:00	91245	91305	90940	91120	50625	160240	5
2018.12.03	10:45:00	91125	91225	90780	90895	51188	161016	5
2018.12.03	11:00:00	90900	91415	90885	91315	46094	147147	5
2018.12.03	11:15:00	91315	91350	90950	91130	38998	128033	5
2018.12.03	11:30:00	91130	91175	90755	90925	42281	137926	5
2018.12.03	11:45:00	90925	91245	90920	91210	36378	120407	5
2018.12.03	12:00:00	91210	91315	90980	91020	33708	113533	5
2018.12.03	12:15:00	91025	91135	90845	90955	32322	102484	5
2018.12.03	12:30:00	90950	91145	90790	91130	47998	151902	5
2018.12.03	12:45:00	91130	91195	90855	90920	39062	120639	5
2018.12.03	13:00:00	90925	90980	90580	90590	45500	146478	5
2018.12.03	13:15:00	90595	90840	90580	90735	30440	99373	5
2018.12.03	13:30:00	90740	90800	90550	90665	29624	94926	5
2018.12.03	13:45:00	90670	90690	90450	90545	31484	110280	5
2018.12.03	14:00:00	90550	90695	90520	90625	28958	97730	5
2018.12.03	14:15:00	90630	90720	90575	90690	19617	67978	5
2018.12.03	14:30:00	90690	90750	90415	90500	38931	135294	5
2018.12.03	14:45:00	90500	90535	90360	90410	31695	112604	5
2018.12.03	15:00:00	90415	90570	90355	90560	28499	102827	5
2018.12.03	15:15:00	90555	90630	90450	90515	24827	90547	5
2018.12.03	15:30:00	90520	90645	90475	90565	23763	83276	5
2018.12.03	15:45:00	90560	90610	90510	90600	13939	53383	5
2018.12.03	16:00:00	90595	90705	90545	90630	26944	100741	5
2018.12.03	16:15:00	90625	90695	90420	90465	33200	119392	5
2018.12.03	16:30:00	90460	90465	90040	90190	50853	189895	5
2018.12.03	16:45:00	90190	90190	89815	89840	36278	136765	5
2018.12.03	17:00:00	89840	90025	89740	89980	34176	139124	5
2018.12.03	17:15:00	89980	89980	89705	89725	23610	90703	5
2018.12.03	17:30:00	89720	89870	89515	89785	27066	112393	5
2018.12.03	17:45:00	89785	89850	89605	89775	13370	64397	5
2018.12.03	18:00:00	89775	89945	89725	89770	6239	26019	5
2018.12.04	09:00:00	89895	90085	89620	90010	26961	86927	5
2018.12.04	09:15:00	90015	90130	89970	90065	24134	77943	5
2018.12.04	09:30:00	90065	90185	90035	90125	22675	76634	5
2018.12.04	09:45:00	90125	90225	90080	90190	18516	60158	5
2018.12.04	10:00:00	90190	90570	90185	90430	54039	174207	5
2018.12.04	10:15:00	90430	90460	90110	90215	49471	161633	5
2018.12.04	10:30:00	90220	90465	90050	90420	56455	178613	5
2018.12.04	10:45:00	90420	90500	90125	90180	36286	117081	5
2018.12.04	11:00:00	90180	90280	90015	90200	47717	161799	5
2018.12.04	11:15:00	90200	90380	90175	90345	27588	91119	5
2018.12.04	11:30:00	90345	90375	90185	90335	31873	105004	5
2018.12.04	11:45:00	90335	90370	90155	90270	28142	89919	5
2018.12.04	12:00:00	90270	90310	90160	90160	18104	57386	5
2018.12.04	12:15:00	90165	90170	89985	90050	31094	98095	5
2018.12.04	12:30:00	90050	90225	89955	90005	47908	150033	5
2018.12.04	12:45:00	90010	90170	89910	90110	37628	122488	5
2018.12.04	13:00:00	90110	90145	89845	89990	31688	106717	5
2018.12.04	13:15:00	89990	90125	89875	89980	28687	100825	5
2018.12.04	13:30:00	89980	90390	89945	90335	39166	132927	5
2018.12.04	13:45:00	90340	90345	90125	90140	32718	112161	5
2018.12.04	14:00:00	90140	90360	90005	90150	36856	124353	5
2018.12.04	14:15:00	90145	90285	90100	90225	24190	86196	5
2018.12.04	14:30:00	90230	90235	90060	90180	23261	78378	5
2018.12.04	14:45:00	90175	90185	89825	89845	37088	126070	5
2018.12.04	15:00:00	89845	89850	89000	89025	81434	284097	5
2018.12.04	15:15:00	89025	89120	88630	88655	67767	233733	5
2018.12.04	15:30:00	88650	88990	88485	88930	54438	193782	5
2018.12.04	15:45:00	88935	89075	88705	88710	36764	129665	5
2018.12.04	16:00:00	88710	89070	88580	88890	46814	173100	5
2018.12.04	16:15:00	88885	89060	88415	88445	41858	151236	5
2018.12.04	16:30:00	88440	88560	88095	88215	53096	193822	5
2018.12.04	16:45:00	88220	88535	88180	88440	33752	129533	5
2018.12.04	17:00:00	88435	88760	88295	88660	33595	126850	5
2018.12.04	17:15:00	88660	88740	88335	88350	27264	99121	5
2018.12.04	17:30:00	88355	88585	88345	88540	19050	68460	5
2018.12.04	17:45:00	88545	88915	88530	88850	16825	67909	5
2018.12.04	18:00:00	88850	88870	88500	88600	8001	34235	5
2018.12.05	09:00:00	88940	89155	88830	89135	28275	87700	5
2018.12.05	09:15:00	89135	89190	89080	89175	16669	51223	5
2018.12.05	09:30:00	89170	89225	89035	89080	20306	60445	5
2018.12.05	09:45:00	89085	89245	89050	89110	22200	70577	5
2018.12.05	10:00:00	89115	89280	89085	89140	28865	87792	5
2018.12.05	10:15:00	89135	89255	88950	89025	48652	143219	5
2018.12.05	10:30:00	89030	89120	88860	89035	50567	154719	5
2018.12.05	10:45:00	89035	89160	89005	89085	26560	88073	5
2018.12.05	11:00:00	89090	89210	89050	89190	20380	65888	5
2018.12.05	11:15:00	89195	89235	88810	88830	43791	139310	5
2018.12.05	11:30:00	88825	88970	88610	88610	56344	178176	5
2018.12.05	11:45:00	88620	88710	88520	88695	32475	111586	5
2018.12.05	12:00:00	88690	88900	88665	88775	28032	95221	5
2018.12.05	12:15:00	88780	88860	88700	88810	24368	80522	5
2018.12.05	12:30:00	88810	88950	88765	88840	24656	83670	5
2018.12.05	12:45:00	88835	88945	88725	88800	21759	76781	5
2018.12.05	13:00:00	88800	88945	88765	88785	19056	62886	5
2018.12.05	13:15:00	88785	88835	88635	88720	26332	84149	5
2018.12.05	13:30:00	88720	88810	88685	88725	11971	40492	5
2018.12.05	13:45:00	88725	88880	88705	88770	19428	68497	5
2018.12.05	14:00:00	88770	89090	88660	89025	37998	131130	5
2018.12.05	14:15:00	89030	89165	88890	88910	33085	121151	5
2018.12.05	14:30:00	88905	88920	88525	88645	38960	136436	5
2018.12.05	14:45:00	88650	88865	88570	88845	28139	94215	5
2018.12.05	15:00:00	88850	88855	88685	88790	17923	63531	5
2018.12.05	15:15:00	88790	88835	88665	88810	16762	60291	5
2018.12.05	15:30:00	88810	88920	88670	88890	24080	83503	5
2018.12.05	15:45:00	88895	89070	88875	88885	25671	92705	5
2018.12.05	16:00:00	88885	88900	88775	88875	16325	60343	5
2018.12.05	16:15:00	88875	88960	88735	88845	25394	89689	5
2018.12.05	16:30:00	88850	88870	88735	88845	15740	60212	5
2018.12.05	16:45:00	88845	88910	88785	88820	12824	48862	5
2018.12.05	17:00:00	88820	89025	88795	89020	14100	57028	5
2018.12.05	17:15:00	89020	89020	88895	88930	11620	47008	5
2018.12.05	17:30:00	88925	88950	88850	88860	8890	37001	5
2018.12.05	17:45:00	88855	89160	88815	89150	14332	62047	5
2018.12.05	18:00:00	89150	89190	89035	89110	5639	26967	5
2018.12.06	09:00:00	87680	87890	87515	87730	36257	118531	5
2018.12.06	09:15:00	87735	87840	87645	87810	22528	63951	5
2018.12.06	09:30:00	87810	87940	87770	87845	25985	76199	5
2018.12.06	09:45:00	87845	87965	87825	87890	21879	67449	5
2018.12.06	10:00:00	87885	87925	87730	87820	31119	89265	5
2018.12.06	10:15:00	87820	88225	87760	88200	44884	140946	5
2018.12.06	10:30:00	88195	88445	88190	88220	49587	162110	5
2018.12.06	10:45:00	88215	88370	88050	88285	39292	125149	5
2018.12.06	11:00:00	88285	88400	88155	88285	26600	80843	5
2018.12.06	11:15:00	88285	88490	88270	88480	35097	108872	5
2018.12.06	11:30:00	88490	88490	88110	88190	35043	110259	5
2018.12.06	11:45:00	88190	88205	87900	87965	36276	116357	5
2018.12.06	12:00:00	87965	88035	87605	87640	37135	118303	5
2018.12.06	12:15:00	87640	87780	87520	87625	39904	129928	5
2018.12.06	12:30:00	87625	87850	87410	87635	63056	201661	5
2018.12.06	12:45:00	87635	87710	87420	87630	40812	138763	5
2018.12.06	13:00:00	87630	87865	87535	87810	37038	128901	5
2018.12.06	13:15:00	87815	87985	87765	87885	34479	121000	5
2018.12.06	13:30:00	87890	87935	87610	87850	36354	129926	5
2018.12.06	13:45:00	87850	87880	87560	87625	30539	109153	5
2018.12.06	14:00:00	87620	87705	87300	87360	39400	142511	5
2018.12.06	14:15:00	87365	87490	87040	87070	43462	156902	5
2018.12.06	14:30:00	87075	87300	87045	87290	35167	130801	5
2018.12.06	14:45:00	87290	87545	87260	87540	33168	121653	5
2018.12.06	15:00:00	87535	87580	87370	87560	29700	110477	5
2018.12.06	15:15:00	87555	87995	87550	87975	47336	173645	5
2018.12.06	15:30:00	87970	88430	87900	88280	60820	227630	5
2018.12.06	15:45:00	88275	88385	88065	88100	33746	132434	5
2018.12.06	16:00:00	88095	88250	88035	88230	26467	105737	5
2018.12.06	16:15:00	88230	88245	88120	88185	17187	70234	5
2018.12.06	16:30:00	88185	88360	88040	88290	29473	117382	5
2018.12.06	16:45:00	88290	88685	88210	88650	32433	123772	5
2018.12.06	17:00:00	88645	88875	88520	88670	37363	152605	5
2018.12.06	17:15:00	88665	88750	88460	88735	26630	114333	5
2018.12.06	17:30:00	88740	88930	88640	88795	23699	99580	5
2018.12.06	17:45:00	88795	88885	88680	88870	14531	70277	5
2018.12.06	18:00:00	88865	88975	88820	88940	6228	34874	5
2018.12.07	09:00:00	88950	89225	88845	88890	32159	103775	5
2018.12.07	09:15:00	88890	88970	88545	88545	38974	124823	5
2018.12.07	09:30:00	88550	88720	88535	88705	22582	68710	5
2018.12.07	09:45:00	88705	88765	88575	88690	27899	90036	5
2018.12.07	10:00:00	88695	88710	88335	88670	55089	164057	5
2018.12.07	10:15:00	88670	88805	88430	88460	45480	138442	5
2018.12.07	10:30:00	88460	88485	88275	88465	43236	144182	5
2018.12.07	10:45:00	88465	88760	88445	88620	38968	127832	5
2018.12.07	11:00:00	88625	88935	88610	88930	44019	140851	5
2018.12.07	11:15:00	88925	89185	88865	89095	32867	108466	5
2018.12.07	11:30:00	89090	89545	89090	89400	55662	172954	5
2018.12.07	11:45:00	89400	89640	89320	89465	36830	120629	5
2018.12.07	12:00:00	89465	89760	89410	89620	36458	128559	5
2018.12.07	12:15:00	89625	89745	89510	89590	25315	82821	5
2018.12.07	12:30:00	89595	89970	89490	89925	50157	163252	5
2018.12.07	12:45:00	89925	90110	89775	90015	45744	152783	5
2018.12.07	13:00:00	90010	90065	89780	89880	33256	108649	5
2018.12.07	13:15:00	89880	89890	89580	89630	35888	119071	5
2018.12.07	13:30:00	89640	89755	89410	89740	40435	140061	5
2018.12.07	13:45:00	89740	89840	89595	89765	36837	127806	5
2018.12.07	14:00:00	89770	89780	89400	89470	39329	129704	5
2018.12.07	14:15:00	89470	89520	89240	89305	37456	125917	5
2018.12.07	14:30:00	89300	89385	89070	89305	46244	160831	5
2018.12.07	14:45:00	89310	89450	89125	89230	37552	130242	5
2018.12.07	15:00:00	89230	89400	89170	89250	29336	101310	5
2018.12.07	15:15:00	89250	89330	89170	89225	22736	85301	5
2018.12.07	15:30:00	89225	89225	88565	88705	54524	196815	5
2018.12.07	15:45:00	88700	89080	88690	89020	35901	118804	5
2018.12.07	16:00:00	89015	89090	88820	88875	32015	105727	5
2018.12.07	16:15:00	88875	88970	88705	88745	29829	99976	5
2018.12.07	16:30:00	88740	88740	88355	88485	43687	150767	5
2018.12.07	16:45:00	88485	88485	88225	88325	31810	109047	5
2018.12.07	17:00:00	88320	88350	87895	87945	46022	175026	5
2018.12.07	17:15:00	87940	88310	87935	88155	36622	136422	5
2018.12.07	17:30:00	88160	88255	88035	88050	18839	66536	5
2018.12.07	17:45:00	88050	88200	87940	88095	17658	78712	5
2018.12.07	18:00:00	88100	88160	87965	88010	7083	30762	5
2018.12.10	09:00:00	88000	88025	87715	87895	23147	79558	5
2018.12.10	09:15:00	87895	88070	87775	87835	27433	81531	5
2018.12.10	09:30:00	87840	87855	87605	87745	24454	72051	5
2018.12.10	09:45:00	87735	87765	87550	87700	25557	76518	5
2018.12.10	10:00:00	87695	88280	87690	88155	58782	165888	5
2018.12.10	10:15:00	88150	88335	88115	88235	38666	115491	5
2018.12.10	10:30:00	88240	88285	87960	88270	47358	135755	5
2018.12.10	10:45:00	88275	88360	88180	88275	36099	107029	5
2018.12.10	11:00:00	88270	88340	88025	88070	37201	112471	5
2018.12.10	11:15:00	88070	88090	87485	87590	60686	191823	5
2018.12.10	11:30:00	87585	87640	87405	87565	30775	98204	5
2018.12.10	11:45:00	87565	87630	87290	87460	43039	139663	5
2018.12.10	12:00:00	87460	87485	87115	87305	46914	149996	5
2018.12.10	12:15:00	87305	87320	87065	87120	28335	94657	5
2018.12.10	12:30:00	87125	87345	87065	87220	53868	167430	5
2018.12.10	12:45:00	87215	87220	86695	86840	63089	208159	5
2018.12.10	13:00:00	86840	87180	86795	87145	42611	146121	5
2018.12.10	13:15:00	87150	87155	86950	86975	34941	115074	5
2018.12.10	13:30:00	86975	87055	86555	86625	51091	163271	5
2018.12.10	13:45:00	86620	86780	86415	86445	46783	146663	5
2018.12.10	14:00:00	86445	86465	86120	86160	57995	184045	5
2018.12.10	14:15:00	86160	86340	86070	86300	44590	137437	5
2018.12.10	14:30:00	86295	86535	86250	86470	42838	141886	5
2018.12.10	14:45:00	86470	86605	86300	86420	44287	139777	5
2018.12.10	15:00:00	86420	86450	86130	86325	41316	129388	5
2018.12.10	15:15:00	86325	86355	86040	86065	44230	144425	5
2018.12.10	15:30:00	86070	86480	86040	86290	46965	154164	5
2018.12.10	15:45:00	86285	86445	86140	86370	38666	129079	5
2018.12.10	16:00:00	86365	86455	86160	86385	35125	113121	5
2018.12.10	16:15:00	86385	86420	86180	86235	27296	94405	5
2018.12.10	16:30:00	86235	86430	86215	86315	29121	98247	5
2018.12.10	16:45:00	86315	86820	86315	86530	53974	193454	5
2018.12.10	17:00:00	86535	86625	86255	86365	45855	164305	5
2018.12.10	17:15:00	86365	86465	85980	86005	41599	149275	5
2018.12.10	17:30:00	85995	86395	85990	86220	31162	116441	5
2018.12.10	17:45:00	86220	86230	85920	86015	18577	74378	5
2018.12.10	18:00:00	86010	86095	85850	85850	9182	41182	5
2018.12.11	09:00:00	86485	86730	86370	86675	23982	72924	5
2018.12.11	09:15:00	86670	86725	86560	86665	21606	63900	5
2018.12.11	09:30:00	86670	86985	86640	86945	38700	107270	5
2018.12.11	09:45:00	86945	87180	86930	87085	39259	116444	5
2018.12.11	10:00:00	87085	87250	86920	87035	48381	140556	5
2018.12.11	10:15:00	87035	87090	86880	86885	39741	121463	5
2018.12.11	10:30:00	86890	87140	86725	87115	52383	156874	5
2018.12.11	10:45:00	87110	87140	86820	86925	41399	133145	5
2018.12.11	11:00:00	86930	87035	86850	87000	27515	87829	5
2018.12.11	11:15:00	87000	87375	86990	87350	53184	169726	5
2018.12.11	11:30:00	87350	87460	87130	87375	53022	165187	5
2018.12.11	11:45:00	87375	87485	87350	87435	22010	79182	5
2018.12.11	12:00:00	87435	87550	87335	87450	36525	121759	5
2018.12.11	12:15:00	87445	87520	87265	87300	27591	92524	5
2018.12.11	12:30:00	87300	87310	86970	87090	61723	207700	5
